GeographicLocationUId|LocationInPub|City|State|Country|Continent|MaxLat|MinLat|MaxLong|MinLong|Latitude|Longitude
1|Bronx|New York City|New York|United States|North America|||||40.837048|-73.865433
2|Detroit|Detroit|Michigan|United States|North America|||||42.331429|-83.045753
3|Rome|||Italy|Europe|||||41.902782|12.496366
4|Athens|Athens||Greece|Europe|||||37.98381|23.727539
5|Taipei|||Taiwan|Asia|||||25.105497|121.597366
6|Lodz|||Poland|Europe|||||51.759445|19.457216
7|Camp Bronco Junction|Charleston|West Virginia|United States|North America|||||38.5914775|-81.8351328
8|Lapland|Lapland||Finland|Europe|||||66.503059|25.726967
9|Helsinki|Helsinki||Finland|Europe|||||60.192059|24.945831
10|Hong Kong|Hong Kong||Hong Kong|Asia|||||22.302711|114.177216
11|Tokyo|Tokyo|Tokyo|Japan|Asia|||||35.652832|139.839478
12|Cardiff|Cardiff||United Kingdom|Europe|||||51.481583|-3.17909
13|Melbourne|Australia|Victoria|Australia|Australia|||||-37.840935|144.946457
14|Shanghai|Shanghai||China|Asia|||||31.224361|121.46917
15|Kuwait|Kuwait||Kuwait|Asia|||||29.378586|47.990341
16|Bangalore|Bangalore|Karnataka|India|Asia|||||12.972442|77.580643
17|Edmonton|Edmonton||Canada|North America|||||53.631611|-113.323975
18|London|London||United Kingdom|Europe|||||51.509865|-0.118092
19|Rome|Rome||Italy|Europe|||||41.902782|12.496366
20|Valencia|Valencia||Spain|Europe|||||39.466667|-0.375
21|Saint John|Saint John|New Brunswick|Canada|North America|||||45.273918|-66.067657
22|Seoul|Seoul||South Korea|Asia|||||37.5326|127.024612
23|Madrid|Madrid||Spain|Europe|||||40.416775|-3.70379
24|Saint Louis|Saint Louis|Missouri|United States|North America|||||38.627003|-90.199402
25|Marseille|Marseille||France|Europe|||||43.296398|5.37
26|Cincinnati|Cincinnati|Ohio|United States|North America|||||39.103119|-84.512016
27|Cleveland|Cleveland|Ohio|United States|North America|||||41.505493|-81.68129
28|Columbus|Columbus|Ohio|United States|North America|||||39.983334|-82.98333
29|Windsor|Ontario|Ontario|Canada|North America|||||42.317432|-83.026772
30|Portland|Portland|Maine|United States|North America|||||43.66147|-70.25533
31|Manchester|Manchester|New Hampshire|United States|North America|||||43.008663|-71.454391
32|Sao Jose dos Campos|Sao Jose dos Campos|Sao Paulo|Brazil|South America|||||-23.17944|-45.88694
33|Cartagena|Cartagena||Spain|Europe|||||37.599998|-0.983333
34|Seattle|Seattle|Washington|United States|North America|||||47.608013|-122.335167
35|Washington DC|Washington DC|Washington DC|United States|North America|||||38.889248|-77.050636
36|Tacoma|Tacoma|Washington|United States|North America|||||47.258728|-122.465973
37|Ciudad Juarez|Ciudad Juarez|Chihuahua|Mexico|North America|||||31.738581|-106.487015
38|Sao Paulo|Sao Paulo||Brazil|South America|||||-23.533773|-46.62529
39|Sydney|Sydney|New South Wales|Australia|Australia|||||-33.865143|151.2099
40|Barcelona|Barcelona||Spain|Europe|||||41.390205|2.154007
41|Paris|Paris||France|Europe|||||48.864716|2.349014
42|Kolkata|Kolkata|West Bengal|India|Asia|||||22.572645|88.363892
43|Rochester|Rochester|New York|United States|North America|||||43.16103|-77.610924
44|Taipei|Taipei||Taiwan|Asia|||||25.105497|121.597366
45|Kaohsiung|Kaohsiung||Taiwan|Asia|||||22.633333|120.26667
46|Strasbourg|Strasbourg||France|Europe|||||48.580002|7.75
47|Brisbane|Brisbane|Queensland|Australia|Australia|||||-27.470125|153.021072
48|Toronto|Toronto|Ontario|Canada|North America|||||43.65107|-79.347015
49|Vancouver|Vancouver|British Columbia|Canada|North America|||||49.246292|-123.116226
50|Amsterdam|Amsterdam||The Netherlands|Europe|||||52.377956|4.89707
51|Rotterdam|Rotterdam||The Netherlands|Europe|||||51.926517|4.462456
52|New York City|New York City|New York|United States|North America|||||40.73061|-73.935242
53|Canberra|Canberra|Australian Capital Territory|Australia|Australia|||||-35.282001|149.128998
54|Perth|Perth|Western Australia|Australia|Australia|||||-31.953512|115.857048
55|Auckland|Auckland|North Island|New Zealand|Oceania|||||-36.848461|174.763336
56|Christchurch|Christchurch|South Island|New Zealand|Oceania|||||-43.52565|172.639847
57|Milan|Milan|Lombardy|Italy|Europe|||||45.464664|9.18854
58|Atlanta|Atlanta|Georgia|United States|North America|||||33.753746|-84.38633
